Year;Month;Day;Time;Price_1
2019;1;16;19;72.33
2019;1;16;20;72.95
2019;1;16;21;72.2
2019;1;16;22;72.99
2019;1;16;23;71.59
2019;1;16;24;70.0
2019;1;17;1;67.36
2019;1;17;2;65.54
2019;1;17;3;58.9
2019;1;17;4;55.0
2019;1;17;5;52.2
2019;1;17;6;54.1
2019;1;17;7;60.02
2019;1;17;8;67.07
2019;1;17;9;68.17
2019;1;17;10;68.13
2019;1;17;11;68.07
2019;1;17;12;67.46
2019;1;17;13;67.16
2019;1;17;14;67.01
2019;1;17;15;65.18
2019;1;17;16;65.08
2019;1;17;17;66.26
2019;1;17;18;68.25
2019;1;17;19;71.45
2019;1;17;20;73.45
2019;1;17;21;70.84
2019;1;17;22;70.11
2019;1;17;23;68.74
2019;1;17;24;68.12
2019;1;18;1;68.1
2019;1;18;2;66.05
2019;1;18;3;61.87
2019;1;18;4;58.85
2019;1;18;5;58.07
2019;1;18;6;61.06
2019;1;18;7;66.31
2019;1;18;8;71.35
2019;1;18;9;71.94
2019;1;18;10;71.95
2019;1;18;11;72.01
2019;1;18;12;71.2
2019;1;18;13;69.74
2019;1;18;14;68.6
2019;1;18;15;67.44
2019;1;18;16;68.14
2019;1;18;17;69.0
2019;1;18;18;70.11
2019;1;18;19;70.74
2019;1;18;20;71.69
2019;1;18;21;70.74
2019;1;18;22;69.69
2019;1;18;23;68.5
2019;1;18;24;68.36
2019;1;19;1;70.16
2019;1;19;2;68.4
2019;1;19;3;64.11
2019;1;19;4;59.2
2019;1;19;5;55.55
2019;1;19;6;56.6
2019;1;19;7;57.96
2019;1;19;8;62.84
2019;1;19;9;65.48
2019;1;19;10;68.71
2019;1;19;11;68.5
2019;1;19;12;68.25
2019;1;19;13;66.95
2019;1;19;14;64.2
2019;1;19;15;63.93
2019;1;19;16;61.73
2019;1;19;17;62.93
2019;1;19;18;66.4
2019;1;19;19;68.71
2019;1;19;20;70.0
2019;1;19;21;67.56
2019;1;19;22;66.42
2019;1;19;23;66.02
2019;1;19;24;63.5
2019;1;20;1;66.69
2019;1;20;2;63.41
2019;1;20;3;60.44
2019;1;20;4;54.6
2019;1;20;5;51.52
2019;1;20;6;51.71
2019;1;20;7;51.98
2019;1;20;8;54.72
2019;1;20;9;54.47
2019;1;20;10;62.91
2019;1;20;11;66.3
2019;1;20;12;66.15
2019;1;20;13;65.12
2019;1;20;14;62.41
2019;1;20;15;58.57
2019;1;20;16;55.39
2019;1;20;17;58.02
2019;1;20;18;66.68
2019;1;20;19;69.0
2019;1;20;20;70.11
2019;1;20;21;70.01
2019;1;20;22;69.08
2019;1;20;23;68.21
2019;1;20;24;64.5
2019;1;21;1;55.54
2019;1;21;2;53.02
2019;1;21;3;52.1
2019;1;21;4;51.31
2019;1;21;5;51.14
2019;1;21;6;53.23
2019;1;21;7;64.45
2019;1;21;8;68.87
2019;1;21;9;70.41
2019;1;21;10;70.98
2019;1;21;11;71.69
2019;1;21;12;70.47
2019;1;21;13;70.0
2019;1;21;14;69.0
2019;1;21;15;68.3
2019;1;21;16;68.25
2019;1;21;17;68.4
2019;1;21;18;70.0
2019;1;21;19;71.69
2019;1;21;20;73.15
2019;1;21;21;73.9
2019;1;21;22;71.05
2019;1;21;23;69.01
2019;1;21;24;67.02
2019;1;22;1;63.93
2019;1;22;2;58.71
2019;1;22;3;56.68
2019;1;22;4;52.92
2019;1;22;5;52.1
2019;1;22;6;54.67
2019;1;22;7;63.57
2019;1;22;8;70.01
2019;1;22;9;70.47
2019;1;22;10;71.2
2019;1;22;11;70.9
2019;1;22;12;70.11
2019;1;22;13;69.56
2019;1;22;14;68.4
2019;1;22;15;67.01
2019;1;22;16;64.24
2019;1;22;17;63.93
2019;1;22;18;64.8
