Year,Month,Day,Pot_Solar_GW
2027,3,3,38.68
2027,3,4,38.68
2027,3,5,38.68
2027,3,6,38.68
2027,3,7,38.68
2027,3,8,38.68
2027,3,9,38.68
2027,3,10,38.68
2027,3,11,38.68
2027,3,12,38.68
2027,3,13,38.68
2027,3,14,38.68
2027,3,15,38.68
2027,3,16,38.68
2027,3,17,38.68
2027,3,18,38.68
2027,3,19,38.68
2027,3,20,38.68
2027,3,21,38.68
2027,3,22,38.68
2027,3,23,38.68
2027,3,24,38.68
2027,3,25,38.68
2027,3,26,38.68
2027,3,27,38.68
2027,3,28,38.68
2027,3,29,38.68
2027,3,30,38.68
2027,3,31,38.68
2027,4,1,38.68
2027,4,2,38.68
2027,4,3,38.68
2027,4,4,38.68
2027,4,5,38.68
2027,4,6,38.68
2027,4,7,38.68
2027,4,8,38.68
2027,4,9,38.68
2027,4,10,38.68
2027,4,11,38.68
2027,4,12,38.68
2027,4,13,38.68
2027,4,14,38.68
2027,4,15,38.68
2027,4,16,38.68
2027,4,17,38.68
2027,4,18,38.68
2027,4,19,38.68
2027,4,20,38.68
2027,4,21,38.68
2027,4,22,38.68
2027,4,23,38.68
2027,4,24,38.68
2027,4,25,38.68
2027,4,26,38.68
2027,4,27,38.68
2027,4,28,38.68
2027,4,29,38.68
2027,4,30,38.68
2027,5,1,38.68
2027,5,2,38.68
2027,5,3,38.68
2027,5,4,38.68
2027,5,5,38.68
2027,5,6,38.68
2027,5,7,38.68
2027,5,8,38.68
2027,5,9,38.68
2027,5,10,38.68
2027,5,11,38.68
2027,5,12,38.68
2027,5,13,38.68
2027,5,14,38.68
2027,5,15,38.68
2027,5,16,38.68
2027,5,17,38.68
2027,5,18,38.68
2027,5,19,38.68
2027,5,20,38.68
2027,5,21,38.68
2027,5,22,38.68
2027,5,23,38.68
2027,5,24,38.68
2027,5,25,38.68
2027,5,26,38.68
2027,5,27,38.68
2027,5,28,38.68
2027,5,29,38.68
2027,5,30,38.68
2027,5,31,38.68
2027,6,1,38.68
2027,6,2,38.68
2027,6,3,38.68
2027,6,4,38.68
2027,6,5,38.68
2027,6,6,38.68
2027,6,7,38.68
2027,6,8,38.68
2027,6,9,38.68
2027,6,10,38.68
2027,6,11,38.68
2027,6,12,38.68
2027,6,13,38.68
2027,6,14,38.68
2027,6,15,38.68
2027,6,16,38.68
2027,6,17,38.68
2027,6,18,38.68
2027,6,19,38.68
2027,6,20,38.68
