Municipio,Potencia,Grupo,Fecha,Provincia,__mun_key__,LATITUD_ETRS89,LONGITUD_ETRS89
Villarroya del Campo,79.2,Solar,2020-06-04,Zaragoza,villarroya campo,"41,14313846","-1,32381234"
Zaragoza,5.0,Solar,2006-08-28,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Tierz,5.0,Solar,2006-08-25,Huesca,tierz,"42,13246602","-0,35353818"
Jaca,4.6,Solar,2006-08-30,Huesca,jaca,"42,57073634","-0,54955746"
Jaca,7.0,Solar,2007-05-09,Huesca,jaca,"42,57073634","-0,54955746"
Utrillas,9.9,Solar,2006-08-28,Teruel,utrillas,"40,81347559","-0,84316294"
Fuentes de Ebro,4.6,Solar,2006-09-04,Zaragoza,fuentes ebro,"41,51287994","-0,63028731"
Teruel,10.0,Solar,2006-10-02,Teruel,teruel,"40,34412951","-1,10927177"
Monegrillo,37.5,Solar,2008-07-31,Zaragoza,monegrillo,"41,6386397","-0,41585763"
Monegrillo,30.0,Solar,2005-11-28,Zaragoza,monegrillo,"41,6386397","-0,41585763"
Castellote,80.0,Solar,2006-09-26,Teruel,castellote,"40,80031989","-0,31996594"
Castellote,20.0,Solar,2008-06-27,Teruel,castellote,"40,80031989","-0,31996594"
Huesca,96.0,Solar,2006-10-02,Huesca,huesca,"42,14062739","-0,40842276"
Pedrola,4.6,Solar,2006-09-29,Zaragoza,pedrola,"41,79055322","-1,21554213"
PeÃ±alba,5.0,Solar,2006-10-02,Huesca,pea+ alba,,
Castellote,7.5,Solar,2006-09-26,Teruel,castellote,"40,80031989","-0,31996594"
Andorra,5.0,Solar,2006-10-04,Teruel,andorra,"40,97509431","-0,44371856"
Teruel,5.0,Solar,2006-10-31,Teruel,teruel,"40,34412951","-1,10927177"
Zaragoza,9.9,Solar,2006-10-24,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Zaragoza,4.6,Solar,2006-10-24,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Sotonera (La),10.0,Solar,2006-10-24,Huesca,sotonera,"42,26068265","-0,55234336"
AlagÃ³n,7.5,Solar,2006-10-25,Zaragoza,alaga3n,,
Pomer,100.0,Solar,2006-11-17,Zaragoza,pomer,"41,63784843","-1,84077356"
Teruel,5.0,Solar,2006-11-30,Teruel,teruel,"40,34412951","-1,10927177"
CastejÃ³n del Puente,50.0,Solar,2006-11-23,Huesca,casteja3n puente,,
Sotonera (La),50.0,Solar,2006-03-27,Huesca,sotonera,"42,26068265","-0,55234336"
Sotonera (La),40.0,Solar,2008-01-21,Huesca,sotonera,"42,26068265","-0,55234336"
Botorrita,5.0,Solar,2006-11-27,Zaragoza,botorrita,"41,50751372","-1,03210941"
Sotonera (La),9.0,Solar,2006-11-29,Huesca,sotonera,"42,26068265","-0,55234336"
Monreal del Campo,10.0,Solar,2006-11-29,Teruel,monreal campo,"40,79010149","-1,35403777"
Monreal del Campo,10.0,Solar,2006-05-26,Teruel,monreal campo,"40,79010149","-1,35403777"
Fueva (La),9.0,Solar,2006-11-29,Huesca,fueva,"42,37034588","0,27252753"
Zaragoza,5.0,Solar,2007-01-12,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Zaragoza,5.0,Solar,2007-01-12,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Zaragoza,5.0,Solar,2007-01-12,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Zaragoza,5.0,Solar,2007-01-12,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Zaragoza,3.9,Solar,2007-01-12,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Zaragoza,3.9,Solar,2007-01-12,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Escucha,32300.0,Eolico,2007-02-19,Teruel,escucha,"40,79551454","-0,80971602"
Villanueva de Huerva,5.0,Solar,2007-01-15,Zaragoza,villanueva huerva,"41,35327712","-1,03458954"
Villarquemado,9.9,Solar,2006-12-27,Teruel,villarquemado,"40,51711461","-1,26708485"
Biota,100.0,Solar,2007-01-09,Zaragoza,biota,"42,26312893","-1,18795951"
Calanda,50.0,Solar,2007-01-10,Teruel,calanda,"40,93854542","-0,23142924"
Nonaspe,7.5,Solar,2007-01-09,Zaragoza,nonaspe,"41,2095729","0,24619243"
Romanos,5.0,Solar,2006-10-04,Zaragoza,romanos,"41,12441002","-1,27488979"
Calanda,2.5,Solar,2007-01-15,Teruel,calanda,"40,93854542","-0,23142924"
Ibdes,7.5,Solar,2007-01-26,Zaragoza,ibdes,"41,218754","-1,83449014"
Estadilla,96.0,Solar,2007-01-16,Huesca,estadilla,"42,05756948","0,24364967"
Mosqueruela,5.0,Solar,2007-01-17,Teruel,mosqueruela,"40,36145064","-0,44907231"
Estadilla,5.0,Solar,2007-01-26,Huesca,estadilla,"42,05756948","0,24364967"
AlcaÃ±iz,5.0,Solar,2007-01-15,Teruel,alcaa+ iz,,
Tarazona,50.0,Solar,2007-01-17,Zaragoza,tarazona,"41,90264813","-1,72518642"
Peraltilla,5.0,Solar,2007-01-26,Huesca,peraltilla,"42,05602525","-0,01708908"
Huesca,45.0,Solar,2007-02-08,Huesca,huesca,"42,14062739","-0,40842276"
Maella,50.0,Solar,2007-02-12,Zaragoza,maella,"41,12199909","0,14256843"
Figueruelas,4.6,Solar,2007-02-28,Zaragoza,figueruelas,"41,76756534","-1,17295475"
AlcaÃ±iz,9.9,Solar,2007-05-13,Teruel,alcaa+ iz,,
Teruel,7.5,Solar,2007-03-13,Teruel,teruel,"40,34412951","-1,10927177"
Gea de AlbarracÃ­n,5.0,Solar,2007-03-26,Teruel,gea albarracan,,
Gea de AlbarracÃ­n,5.0,Solar,2007-03-26,Teruel,gea albarracan,,
Barbastro,25.0,Solar,2007-04-10,Huesca,barbastro,"42,03662727","0,12246205"
Ayerbe,64.0,Solar,2007-03-26,Huesca,ayerbe,"42,2778874","-0,68918162"
Albalatillo,100.0,Solar,2007-04-10,Huesca,albalatillo,"41,73693309","-0,15067546"
Fueva (La),8.25,Solar,2007-04-10,Huesca,fueva,"42,37034588","0,27252753"
CariÃ±ena,7.5,Solar,2007-04-02,Zaragoza,caria+ ena,,
Plan,2.5,Solar,2007-02-20,Huesca,plan,"42,58185615","0,33641901"
Mozota,2.5,Solar,2007-04-16,Zaragoza,mozota,"41,4830362","-1,06946562"
HÃ­jar,100.0,Solar,2007-04-20,Teruel,hajar,,
BÃ¡rcabo,8.25,Solar,2007-05-09,Huesca,ba!rcabo,,
Alcampell,75.0,Solar,2007-05-09,Huesca,alcampell,"41,90586236","0,43199805"
Gallocanta,2.5,Solar,2007-05-16,Zaragoza,gallocanta,"40,99667871","-1,50956492"
Torrecilla de AlcaÃ±iz,30.0,Solar,2007-05-18,Teruel,torrecilla alcaa+ iz,,
Rueda de JalÃ³n,23540.0,Eolico,2007-12-27,Zaragoza,rueda jala3n,,
Valderrobres,10.0,Solar,2007-05-17,Teruel,valderrobres,"40,87590223","0,1557343"
Botorrita,5.0,Solar,2007-05-31,Zaragoza,botorrita,"41,50751372","-1,03210941"
Mas de las Matas,9.9,Solar,2007-05-31,Teruel,mas matas,"40,83375152","-0,2416086"
Teruel,10.0,Solar,2007-05-31,Teruel,teruel,"40,34412951","-1,10927177"
Teruel,10.0,Solar,2007-06-14,Teruel,teruel,"40,34412951","-1,10927177"
Huesca,80.0,Solar,2007-05-31,Huesca,huesca,"42,14062739","-0,40842276"
Puebla de Valverde (La),1000.0,Eolico,2019-06-25,Teruel,puebla valverde,"40,22444743","-0,92912557"
Puebla de Valverde (La),25000.0,Eolico,2007-12-12,Teruel,puebla valverde,"40,22444743","-0,92912557"
Alcorisa,20.0,Solar,2007-07-05,Teruel,alcorisa,"40,89137363","-0,38074056"
Gallur,4.6,Solar,2007-07-24,Zaragoza,gallur,"41,87010862","-1,31823382"
Lalueza,10.0,Solar,2007-07-24,Huesca,lalueza,"41,84211095","-0,25559198"
Alhama de AragÃ³n,100.0,Solar,2007-09-05,Zaragoza,alhama araga3n,,
Huesca,100.0,Solar,2007-09-26,Huesca,huesca,"42,14062739","-0,40842276"
Ejea de los Caballeros,85.0,Solar,2007-09-05,Zaragoza,ejea caballeros,"42,126751","-1,138547"
SÃ¡daba,7.5,Solar,2007-08-31,Zaragoza,sa!daba,,
Calatayud,100.0,Solar,2007-08-21,Zaragoza,calatayud,"41,35431931","-1,64472637"
Gallur,7.5,Solar,2007-09-03,Zaragoza,gallur,"41,87010862","-1,31823382"
Torres de AlbarracÃ­n,100.0,Solar,2007-10-09,Teruel,torres albarracan,,
Valpalmas,5.0,Solar,2007-10-16,Zaragoza,valpalmas,"42,15877628","-0,85396189"
PoleÃ±ino,100.0,Solar,2007-10-16,Huesca,polea+ ino,,
Robres,100.0,Solar,2007-10-16,Huesca,robres,"41,86620729","-0,4607889"
Zaragoza,7.5,Solar,2005-10-17,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Zaragoza,10.0,Solar,2005-10-18,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Zaragoza,10.0,Solar,2008-11-13,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Mas de las Matas,10.0,Solar,2005-10-24,Teruel,mas matas,"40,83375152","-0,2416086"
Zaragoza,25.0,Solar,2007-10-18,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Calamocha,100.0,Solar,2007-10-18,Teruel,calamocha,"40,91961258","-1,30091517"
Almochuel,10.0,Solar,2007-10-26,Zaragoza,almochuel,"41,28018845","-0,54963666"
Muel,2.5,Solar,2007-10-26,Zaragoza,muel,"41,46663061","-1,08483691"
PoleÃ±ino,100.0,Solar,2007-10-26,Huesca,polea+ ino,,
MallÃ©n,80.0,Solar,2007-10-09,Zaragoza,malla c n,,
Andorra,2.5,Solar,2007-11-14,Teruel,andorra,"40,97509431","-0,44371856"
CastelserÃ¡s,10.0,Solar,2007-11-15,Teruel,castelsera!s,,
CastelserÃ¡s,10.0,Solar,2007-11-16,Teruel,castelsera!s,,
CariÃ±ena,2.5,Solar,2007-11-06,Zaragoza,caria+ ena,,
Ejea de los Caballeros,96.0,Solar,2007-11-26,Zaragoza,ejea caballeros,"42,126751","-1,138547"
Ariza,100.0,Solar,2007-11-19,Zaragoza,ariza,"41,31268123","-2,05613753"
Ariza,100.0,Solar,2007-11-19,Zaragoza,ariza,"41,31268123","-2,05613753"
Ariza,100.0,Solar,2007-11-19,Zaragoza,ariza,"41,31268123","-2,05613753"
CastelserÃ¡s,10.0,Solar,2007-11-20,Teruel,castelsera!s,,
Teruel,1.8,Solar,2007-11-20,Teruel,teruel,"40,34412951","-1,10927177"
Tauste,85.0,Solar,2007-12-05,Zaragoza,tauste,"41,92139418","-1,25694062"
Luna,96.0,Solar,2007-11-28,Zaragoza,luna,"42,16908363","-0,93013543"
Luna,96.0,Solar,2007-11-28,Zaragoza,luna,"42,16908363","-0,93013543"
Luna,64.0,Solar,2007-11-28,Zaragoza,luna,"42,16908363","-0,93013543"
Luna,32.0,Solar,2007-11-28,Zaragoza,luna,"42,16908363","-0,93013543"
Luna,96.0,Solar,2007-11-28,Zaragoza,luna,"42,16908363","-0,93013543"
Luna,96.0,Solar,2007-11-28,Zaragoza,luna,"42,16908363","-0,93013543"
AguarÃ³n,50.0,Solar,2007-11-28,Zaragoza,aguara3n,,
AguarÃ³n,50.0,Solar,2008-09-22,Zaragoza,aguara3n,,
Utebo,2.5,Solar,2007-12-03,Zaragoza,utebo,"41,71506874","-0,99446148"
Zaragoza,15.0,Solar,2007-09-05,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Pomer,5.0,Solar,2008-02-06,Zaragoza,pomer,"41,63784843","-1,84077356"
Blancas,60.0,Solar,2008-02-06,Teruel,blancas,"40,81387","-1,48180791"
Salillas de JalÃ³n,95.0,Solar,2008-01-15,Zaragoza,salillas jala3n,,
Salillas de JalÃ³n,90.2,Solar,2008-01-15,Zaragoza,salillas jala3n,,
Salillas de JalÃ³n,93.6,Solar,2008-01-15,Zaragoza,salillas jala3n,,
Salillas de JalÃ³n,93.6,Solar,2007-01-15,Zaragoza,salillas jala3n,,
Salillas de JalÃ³n,97.4,Solar,2008-01-15,Zaragoza,salillas jala3n,,
Salillas de JalÃ³n,65.0,Solar,2008-01-15,Zaragoza,salillas jala3n,,
Salillas de JalÃ³n,95.0,Solar,2008-01-15,Zaragoza,salillas jala3n,,
Aliaga,100.0,Solar,2008-01-15,Teruel,aliaga,"40,67415567","-0,70190468"
Sestrica,11900.0,Eolico,2007-12-28,Zaragoza,sestrica,"41,48703854","-1,594946"
SÃ¡daba,100.0,Solar,2008-02-11,Zaragoza,sa!daba,,
SÃ¡daba,100.0,Solar,2008-02-11,Zaragoza,sa!daba,,
SÃ¡daba,100.0,Solar,2008-02-11,Zaragoza,sa!daba,,
SÃ¡daba,100.0,Solar,2008-02-11,Zaragoza,sa!daba,,
SÃ¡daba,100.0,Solar,2008-02-11,Zaragoza,sa!daba,,
SÃ¡daba,100.0,Solar,2008-02-11,Zaragoza,sa!daba,,
SÃ¡daba,100.0,Solar,2008-02-11,Zaragoza,sa!daba,,
SÃ¡daba,100.0,Solar,2008-02-11,Zaragoza,sa!daba,,
SÃ¡daba,100.0,Solar,2008-02-11,Zaragoza,sa!daba,,
SÃ¡daba,100.0,Solar,2008-02-11,Zaragoza,sa!daba,,
SÃ¡daba,100.0,Solar,2008-02-11,Zaragoza,sa!daba,,
SÃ¡daba,100.0,Solar,2008-02-11,Zaragoza,sa!daba,,
SÃ¡daba,100.0,Solar,2008-02-11,Zaragoza,sa!daba,,
SÃ¡daba,100.0,Solar,2008-02-11,Zaragoza,sa!daba,,
SÃ¡daba,100.0,Solar,2008-02-11,Zaragoza,sa!daba,,
Quinto,1650.0,Eolico,2008-06-11,Zaragoza,quinto,"41,42376777","-0,49805401"
Cantavieja,80.0,Solar,2008-02-20,Teruel,cantavieja,"40,52795321","-0,4056737"
Cuarte de Huerva,3.8,Solar,2008-02-20,Zaragoza,cuarte huerva,"41,58939012","-0,92991614"
Belchite,45.0,Solar,2008-03-07,Zaragoza,belchite,"41,29984463","-0,74526089"
Almunia de San Juan,99.0,Solar,2008-02-19,Huesca,almunia san juan,"41,93566184","0,2447946"
Azaila,90.0,Solar,2008-02-25,Teruel,azaila,"41,29189056","-0,49335843"
Quinto,2.5,Solar,2008-02-25,Zaragoza,quinto,"41,42376777","-0,49805401"
Quinto,2.5,Solar,2008-09-22,Zaragoza,quinto,"41,42376777","-0,49805401"
Almunia de San Juan,5.0,Solar,2008-03-12,Huesca,almunia san juan,"41,93566184","0,2447946"
Biota,76.5,Solar,2008-04-30,Zaragoza,biota,"42,26312893","-1,18795951"
