idCon;COD_GEOGRAFICO;NOMBRE_ACTUAL;PROVINCIA;MUNICIPIOS;idINES;SUPERFICIE;PERIMETRO;LONGITUD_ETRS89;LATITUD_ETRS89;ORIGENCOOR;ALTITUD;ORIGENALTITUD
69;31988;Facero de Ujué y Lerga;Navarra;"LERGA;UJUÉ";"*;31151;31235";23;1849;-1,474301;42,537468;;;
70;31990;Facería de Ayarza;Navarra;"VILLAMAYOR DE MONJARDÍN;LUQUIN;IGÚZQUIZA";"*;31255;31160;31125";39;2745;-2,092883;42,619579;;;
71;37999;Coto Mancomunado;Salamanca;"PEDROSILLO EL RALO;VILLAVERDE DE GUAREÑA";"*;37238;37372";91;4519;-5,534607;41,058141;;;
72;39999;Comunidad de Campoo-Cabuérniga;Cantabria;"HERMANDAD DE CAMPOO DE SUSO;CABUÉRNIGA";"*;39032;39014";6873,56;43327,7;-4,295536;43,093452;;;
73;9951;Monte de la Mata;Burgos;"ALDEHORNO;MORADILLO DE ROA";"*;40014;09228";977;14113;-3,818785;41,511935;;;
74;40999;Comunidad de Sepúlveda y Riaza;Segovia;"RIAZA;SEPÚLVEDA";"*;40170;40195";7132,42;68288,4;-3,502838;41,279382;;;
75;42999;San Bartolomé;Soria;"HERRERA DE SORIA;NAFRÍA DE UCERO;UCERO";"*;42098;42127;42189";385;11097;-3,055543;41,749033;;;
76;44999;Comunidad de la Pardina del Mercadal;Teruel;"LOSCOS;NOGUERAS;SANTA CRUZ DE NOGUERAS;MOYUELA;PLENAS;VILLAR DE LOS NAVARROS";"*;44138;44164;44208;50179;50213;50291";1222;20243;-1,019507;41,125449;;;
77;44998;El Franco;Teruel;"SEGURA DE LOS BAÑOS;VIVEL DEL RÍO MARTÍN";"*;44211;44267";42;3357;-0,92542;40,900388;;;
78;31139;Bardenas Reales;Navarra;Territorio no adscrito a ningún muncipio;No disponible;42015,96;174227,6;-1,46645;42,160952;;;
79;31999;Sierra de Aralar;Navarra;Lakuntza;"*;31138";2167;21360;-2,005174;42,974333;;;
80;31992;Sierra de Lokiz;Navarra;Según dato no confirmado, pertenece a 25 municipios;No disponible;7425;62889;-2,165526;42,711486;;;
81;31989;Facería de Cogullo Alto, Cogullo Bajo, Sarmindieta y Chandivar;Navarra;Cogullo Alto, Cogullo Bajo, Sarmindieta y Chandivar;No disponible;503;17735;-2,122592;42,608211;;;
