Municipio,Potencia,Grupo,Fecha,Provincia
Retascón,100.0,Solar,2008-06-27,Zaragoza
Retascón,100.0,Solar,2008-06-27,Zaragoza
Retascón,100.0,Solar,2008-06-27,Zaragoza
Retascón,100.0,Solar,2008-06-27,Zaragoza
Pina de Ebro,100.0,Solar,2008-07-04,Zaragoza
Pina de Ebro,100.0,Solar,2008-07-04,Zaragoza
Pina de Ebro,100.0,Solar,2008-07-04,Zaragoza
Zuera,100.0,Solar,2008-07-03,Zaragoza
Grado (El),40.0,Solar,2008-07-10,Huesca
Albalate de Cinca,100.0,Solar,2008-07-10,Huesca
Yebra de Basa,97.5,Solar,2008-07-10,Huesca
Gelsa,100.0,Solar,2008-07-11,Zaragoza
Villarreal de Huerva,15.0,Solar,2008-07-11,Zaragoza
Fonz,50.0,Solar,2008-07-14,Huesca
Celadas,80.0,Solar,2008-07-14,Teruel
Teruel,100.0,Solar,2008-07-14,Teruel
Teruel,100.0,Solar,2008-07-14,Teruel
Cella,50.0,Solar,2008-07-14,Teruel
Cella,30.0,Solar,2008-07-14,Teruel
Teruel,5.0,Solar,2008-07-15,Teruel
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
Sádaba,100.0,Solar,2008-07-15,Zaragoza
San Martín del Río,90.0,Solar,2008-07-15,Teruel
San Martín del Río,10.0,Solar,2008-07-15,Teruel
Capella,100.0,Solar,2008-07-17,Huesca
Capella,100.0,Solar,2008-07-17,Huesca
Capella,100.0,Solar,2008-07-17,Huesca
Capella,100.0,Solar,2008-07-17,Huesca
Capella,100.0,Solar,2008-07-17,Huesca
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Sádaba,100.0,Solar,2008-07-17,Zaragoza
Aguarón,5.0,Solar,2008-09-04,Zaragoza
Loporzano,100.0,Solar,2008-07-23,Huesca
Laluenga,90.0,Solar,2008-07-18,Huesca
Laluenga,90.0,Solar,2008-07-18,Huesca
Laluenga,90.0,Solar,2008-07-18,Huesca
Laluenga,90.0,Solar,2008-07-18,Huesca
Laluenga,90.0,Solar,2008-07-18,Huesca
Tamarite de Litera,100.0,Solar,2008-07-21,Huesca
Lanaja,100.0,Solar,2008-07-21,Huesca
Fraga,990.0,Solar,2008-07-24,Huesca
Mallén,100.0,Solar,2008-07-25,Zaragoza
Mallén,80.0,Solar,2008-07-25,Zaragoza
Mallén,50.0,Solar,2008-07-25,Zaragoza
Mallén,35.0,Solar,2008-07-25,Zaragoza
Mallén,35.0,Solar,2008-07-25,Zaragoza
Calamocha,80.0,Solar,2008-07-28,Teruel
Maella,100.0,Solar,2008-07-28,Zaragoza
Maella,100.0,Solar,2008-07-28,Zaragoza
Fuentes Claras,100.0,Solar,2008-07-30,Teruel
Mainar,60.0,Solar,2008-07-30,Zaragoza
Muela (La),70.0,Solar,2008-07-30,Zaragoza
Torrecilla de Alcañiz,10.0,Solar,2008-07-31,Teruel
Torrecilla de Alcañiz,10.0,Solar,2008-07-31,Teruel
Torrecilla de Alcañiz,10.0,Solar,2008-07-31,Teruel
Torrecilla de Alcañiz,10.0,Solar,2008-07-31,Teruel
Torrecilla de Alcañiz,10.0,Solar,2008-07-31,Teruel
Torrecilla de Alcañiz,10.0,Solar,2008-07-31,Teruel
Torrecilla de Alcañiz,10.0,Solar,2008-07-31,Teruel
Torrecilla de Alcañiz,10.0,Solar,2008-07-31,Teruel
Codoñera (La),10.0,Solar,2008-07-31,Teruel
Codoñera (La),10.0,Solar,2008-07-31,Teruel
Muel,7.5,Solar,2008-05-29,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
Almonacid de la Sierra,100.0,Solar,2008-08-01,Zaragoza
