Year,Month,Day,Pot_Eolica_GW
2026,5,13,42.2294186
2026,5,14,42.2294186
2026,5,15,42.2294186
2026,5,16,42.2294186
2026,5,17,42.2294186
2026,5,18,42.2294186
2026,5,19,42.2294186
2026,5,20,42.2294186
2026,5,21,42.2294186
2026,5,22,42.2294186
2026,5,23,42.2294186
2026,5,24,42.2294186
2026,5,25,42.2294186
2026,5,26,42.2294186
2026,5,27,42.2294186
2026,5,28,42.2294186
2026,5,29,42.2294186
2026,5,30,42.2294186
2026,5,31,42.2294186
2026,6,1,42.2294186
2026,6,2,42.2294186
2026,6,3,42.2294186
2026,6,4,42.2294186
2026,6,5,42.2294186
2026,6,6,42.2294186
2026,6,7,42.2294186
2026,6,8,42.2294186
2026,6,9,42.2294186
2026,6,10,42.2294186
2026,6,11,42.2294186
2026,6,12,42.2294186
2026,6,13,42.2294186
2026,6,14,42.2294186
2026,6,15,42.2294186
2026,6,16,42.2294186
2026,6,17,42.2294186
2026,6,18,42.2294186
2026,6,19,42.2294186
2026,6,20,42.2294186
2026,6,21,42.2294186
2026,6,22,42.2294186
2026,6,23,42.2294186
2026,6,24,42.2294186
2026,6,25,42.2294186
2026,6,26,42.2294186
2026,6,27,42.2294186
2026,6,28,42.2294186
2026,6,29,42.2294186
2026,6,30,42.2294186
2026,7,1,42.2294186
2026,7,2,42.2294186
2026,7,3,42.2294186
2026,7,4,42.2294186
2026,7,5,42.2294186
2026,7,6,42.2294186
2026,7,7,42.2294186
2026,7,8,42.2294186
2026,7,9,42.2294186
2026,7,10,42.2294186
2026,7,11,42.2294186
2026,7,12,42.2294186
2026,7,13,42.2294186
2026,7,14,42.2294186
2026,7,15,42.2294186
2026,7,16,42.2294186
2026,7,17,42.2294186
2026,7,18,42.2294186
2026,7,19,42.2294186
2026,7,20,42.2294186
2026,7,21,42.2294186
2026,7,22,42.2294186
2026,7,23,42.2294186
2026,7,24,42.2294186
2026,7,25,42.2294186
2026,7,26,42.2294186
2026,7,27,42.2294186
2026,7,28,42.2294186
2026,7,29,42.2294186
2026,7,30,42.2294186
2026,7,31,42.2294186
2026,8,1,42.2294186
2026,8,2,42.2294186
2026,8,3,42.2294186
2026,8,4,42.2294186
2026,8,5,42.2294186
2026,8,6,42.2294186
2026,8,7,42.2294186
2026,8,8,42.2294186
2026,8,9,42.2294186
2026,8,10,42.2294186
2026,8,11,42.2294186
2026,8,12,42.2294186
2026,8,13,42.2294186
2026,8,14,42.2294186
2026,8,15,42.2294186
2026,8,16,42.2294186
2026,8,17,42.2294186
2026,8,18,42.2294186
2026,8,19,42.2294186
2026,8,20,42.2294186
2026,8,21,42.2294186
2026,8,22,42.2294186
2026,8,23,42.2294186
2026,8,24,42.2294186
2026,8,25,42.2294186
2026,8,26,42.2294186
2026,8,27,42.2294186
2026,8,28,42.2294186
2026,8,29,42.2294186
2026,8,30,42.2294186
2026,8,31,42.2294186
2026,9,1,42.2294186
2026,9,2,42.2294186
2026,9,3,42.2294186
2026,9,4,42.2294186
2026,9,5,42.2294186
2026,9,6,42.2294186
2026,9,7,42.2294186
2026,9,8,42.2294186
2026,9,9,42.2294186
2026,9,10,42.2294186
2026,9,11,42.2294186
2026,9,12,42.2294186
2026,9,13,42.2294186
2026,9,14,42.2294186
2026,9,15,42.2294186
2026,9,16,42.2294186
2026,9,17,42.2294186
2026,9,18,42.2294186
2026,9,19,42.2294186
2026,9,20,42.2294186
2026,9,21,42.2294186
2026,9,22,42.2294186
2026,9,23,42.2294186
2026,9,24,42.2294186
2026,9,25,42.2294186
2026,9,26,42.2294186
2026,9,27,42.2294186
2026,9,28,42.2294186
2026,9,29,42.2294186
2026,9,30,42.2294186
2026,10,1,42.2294186
2026,10,2,42.2294186
2026,10,3,42.2294186
2026,10,4,42.2294186
2026,10,5,42.2294186
2026,10,6,42.2294186
2026,10,7,42.2294186
2026,10,8,42.2294186
2026,10,9,42.2294186
2026,10,10,42.2294186
2026,10,11,42.2294186
2026,10,12,42.2294186
2026,10,13,42.2294186
2026,10,14,42.2294186
2026,10,15,42.2294186
2026,10,16,42.2294186
2026,10,17,42.2294186
2026,10,18,42.2294186
2026,10,19,42.2294186
2026,10,20,42.2294186
2026,10,21,42.2294186
2026,10,22,42.2294186
2026,10,23,42.2294186
2026,10,24,42.2294186
2026,10,25,42.2294186
2026,10,26,42.2294186
2026,10,27,42.2294186
2026,10,28,42.2294186
2026,10,29,42.2294186
2026,10,30,42.2294186
2026,10,31,42.2294186
2026,11,1,42.2294186
2026,11,2,42.2294186
2026,11,3,42.2294186
2026,11,4,42.2294186
2026,11,5,42.2294186
2026,11,6,42.2294186
2026,11,7,42.2294186
2026,11,8,42.2294186
2026,11,9,42.2294186
2026,11,10,42.2294186
2026,11,11,42.2294186
2026,11,12,42.2294186
2026,11,13,42.2294186
2026,11,14,42.2294186
2026,11,15,42.2294186
2026,11,16,42.2294186
2026,11,17,42.2294186
2026,11,18,42.2294186
2026,11,19,42.2294186
2026,11,20,42.2294186
